x,y,reach_id_R,reach_len,n_nodes,width,width_var,max_width,rch_id_up,rch_id_dn,n_rch_up,n_rch_down,fdir_set,conn_reach,rg_us_nd,rg_ds_nd,rg_inlet,rg_outlet,rg_flux,rg_outflx,wse,wse_var,facc,n_chan_max,n_chan_mod,obstr_type,grod_id,hfalls_id,dist_out,lakeflag,swot_orbit,swot_obs,type,river_name,edit_flag,trib_flag,path_freq,path_order,path_segs,main_side,strm_order,end_reach,network,mask_date
-151.009987014970676,70.268188071107772,9,33542.257556819247839,154,449.743947604939706,28404.646231017344689,1164.989270336855952,"36",544 546,1,2,1,"20, 36, 544, 546",12,40,0,0,0.295739717213077,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.918818762556214,70.178096423338189,20,354.852813742385706,1,1070.998520951979344,2262.168118672505898,1164.989270336855952,"36",29 30,1,2,1,"9, 36, 29, 30",12,20,0,0,0.704260282786923,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.905050362358281,70.183842678450574,29,1480.660171779820985,6,703.852339531828648,6693.432427403860856,1020.000000000000000,"20","39",1,1,1,"20, 30, 39",20,29,0,0,0.565931794072406,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.891915294081656,70.179119695354629,30,2250.365799264592169,10,172.039866686051482,62129.360688195905823,1020.000000000000000,"20","39",1,1,1,"20, 29, 39",20,29,0,0,0.138328488714517,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.984975444605510,70.139983469402068,36,10863.961030678956377,48,779.971628448768456,17137.310080196450144,1223.764683262268363,,9 20,0,2,1,"9, 20",35,12,1,0,1.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.879966538817683,70.192938840994188,39,1542.792206135784681,6,1073.241976866853975,12585.901115906626728,1190.965994476752485,29 30,46 53,2,2,1,"29, 30, 46, 53",29,37,0,0,0.704260282786923,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.859578896058963,70.207394682225569,46,2384.924240491748151,10,537.905183644749172,38196.883371351206733,1214.907403878995183,"39","55",1,1,1,"39, 53, 55",37,44,0,0,0.392428582752452,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.843293525299686,70.204468265341262,53,2695.218613006976739,12,427.430353560933895,63512.640694630877988,1214.907403878995183,"39","55",1,1,1,"39, 46, 55",37,44,0,0,0.311831700034471,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.841229110763948,70.236928610204018,55,5123.969696196701079,24,1090.963971791976974,6717.241140855507183,1369.525465261599265,46 53,120 121,2,2,1,"46, 53, 120, 121",44,54,0,0,0.704260282786923,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
-150.964933240847103,70.419985855832820,117,752.132034355964265,3,688.579807657270521,607.848486676251355,724.982758415674311,139 140,137 549,2,2,1,"139, 140, 137, 549",103,90,0,0,0.098023228324801,,,,,,,,,,,,,,,,,,,,,,,,,"Mask from Piliouras and Rowland, 2019"
