x,y,reach_id_R,reach_len,n_nodes,width,width_var,max_width,rch_id_up,rch_id_dn,n_rch_up,n_rch_down,fdir_set,conn_reach,rg_us_nd,rg_ds_nd,rg_inlet,rg_outlet,rg_flux,rg_outflx,wse,wse_var,facc,n_chan_max,n_chan_mod,obstr_type,grod_id,hfalls_id,dist_out,lakeflag,swot_orbit,swot_obs,type,river_name,edit_flag,trib_flag,path_freq,path_order,path_segs,main_side,strm_order,end_reach,network,mask_date
32.331563190003877,46.539216931871763,2,2518.951305265990868,11,76.999718728999170,1424.431359949608350,300.487844149430202,"4","5",1,1,1,"4, 176, 5, 6",2,3,0,0,0.045945890154174,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landsat 8, manually cleaned in 2025"
32.353125079575314,46.549059741558480,4,1883.875598728189289,9,229.422154062660468,2983.061908816462164,422.586534434991449,"18",2 176,1,2,1,"6, 18, 2, 176",5,2,0,0,0.193581893724088,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landsat 8, manually cleaned in 2025"
32.316396387860095,46.535685535759406,5,130.539524373442219,1,193.691645153410036,272.815954867936455,223.970415310162764,2 6,"174",2,1,1,"2, 6, 11, 174",3,6,0,0,0.117940992811481,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landsat 8, manually cleaned in 2025"
32.343892978394813,46.535063531459123,6,4373.403720182780489,21,85.324465092504028,1665.239383244802411,400.650458865906899,"18","5",1,1,1,"4, 18, 2, 5",5,3,0,0,0.071995102657307,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landsat 8, manually cleaned in 2025"
32.318693786285813,46.533985958013965,11,613.337972351703570,2,87.499457090563766,1386.763779582302959,223.970415310162764,"19","174",1,1,1,"19, 171, 5, 174",10,6,0,0,0.030570700480348,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landsat 8, manually cleaned in 2025"
32.399025312355725,46.552807917588382,18,6064.983103491004840,28,269.427233548143420,5104.649588175995632,716.705328992520776,"28",4 6,1,2,1,"28, 39, 4, 6",17,5,0,0,0.265576996381396,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landsat 8, manually cleaned in 2025"
32.348279347481743,46.532575364637736,19,4279.040427857104987,20,93.093985008803799,6731.773634399428374,582.323079806423266,"30",11 171,1,2,1,"30, 43, 11, 171",18,10,0,0,0.062123884926494,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landsat 8, manually cleaned in 2025"
32.452364880085518,46.562102149333086,28,3551.739325815566190,16,457.314466077219265,11558.681580609265438,718.103779744714871,41 42,18 39,2,2,1,"41, 42, 18, 39",27,17,0,0,0.849904365952105,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landsat 8, manually cleaned in 2025"
32.392817370609734,46.535728786500776,30,4556.695871287600312,21,458.258366354569148,3227.669920228630417,589.174175252710029,"39",19 43,1,2,1,"46, 39, 19, 43",29,18,0,0,0.513812127955922,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landsat 8, manually cleaned in 2025"
32.425915051970982,46.549888012848122,39,1949.748108631404648,9,592.798731874387045,1101.763812887071481,729.194841933616544,"28",30 46,1,2,1,"18, 28, 30, 46",17,29,0,0,0.584327369570710,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landsat 8, manually cleaned in 2025"
32.474754858116768,46.571321253424685,41,733.008629632095790,3,345.463889268413141,1035.093625198073369,412.981040214079428,53 54,"28",2,1,1,"53, 54, 28, 42",35,27,0,0,0.717106055683133,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landsat 8, manually cleaned in 2025"
32.470959436666291,46.573479193352306,42,770.117263068817351,3,152.403026526500014,4731.315324641344887,382.720813450070693,55 56,"28",2,1,1,"55, 56, 28, 41",36,27,0,0,0.132798310268973,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landsat 8, manually cleaned in 2025"
32.368719289908100,46.523258278899362,43,512.880939134588516,2,676.864600064658816,1058.430828448267903,722.282886489601538,"30",57 178,1,2,1,"19, 30, 57, 178",18,37,0,0,0.451688243029428,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landsat 8, manually cleaned in 2025"
32.414251386208129,46.525290119262813,46,4970.711485938946680,23,62.891079574249382,4704.051868464112886,539.392187761743003,"39","60",1,1,1,"30, 39, 60, 78",29,39,0,0,0.070515241614788,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landsat 8, manually cleaned in 2025"
32.513666244418737,46.593365973931526,53,7799.105553782474999,36,454.370280116844924,7625.817484007176972,627.117162868455807,69 70,"41",2,1,1,"69, 70, 41, 54",46,35,0,0,0.491737847094576,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landsat 8, manually cleaned in 2025"
32.510178958615846,46.555069311335906,54,6931.714674964284313,32,240.496006935541971,2325.379358716819752,482.447039347035002,"96","41",1,1,1,"95, 96, 41, 53",47,35,0,0,0.225368208588557,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landsat 8, manually cleaned in 2025"
32.474440943037337,46.582422964185696,55,1477.545433702157879,6,112.216559274232409,1044.864513847186345,223.970415310162764,"98","42",1,1,1,"56, 98, 42",48,36,0,0,0.065007077447044,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landsat 8, manually cleaned in 2025"
32.478247332243434,46.581786798068755,56,1588.871334012322450,7,117.022625766130460,669.850945394501991,223.970415310162764,"98","42",1,1,1,"55, 98, 42",48,36,0,0,0.067791232821929,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landsat 8, manually cleaned in 2025"
32.351427463838235,46.515057258976931,57,2984.787145259761019,14,552.074254428984204,4883.229694675293104,745.522123099651253,"43",100 179,1,2,1,"43, 178, 100, 179",37,49,0,0,0.414208343696718,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landsat 8, manually cleaned in 2025"
32.398249047447642,46.505121976182238,60,549.989572571310191,2,86.786511919344420,1596.843485277272976,223.970415310162764,46 78,"81",2,1,1,"46, 78, 80, 81",39,52,0,0,0.095893948553012,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landsat 8, manually cleaned in 2025"
32.572792562894968,46.601358787771559,69,2288.614055020351316,10,220.947179859187145,26431.884815367975534,895.881661240651056,"91","53",1,1,1,"90, 91, 53, 70",59,46,0,0,0.163588669817446,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landsat 8, manually cleaned in 2025"
32.572930325862416,46.595661645396618,70,2113.280447584877038,10,371.030097630484249,16111.133283237153591,869.743769030763815,"90","53",1,1,1,"93, 90, 53, 69",60,46,0,0,0.328149177277129,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landsat 8, manually cleaned in 2025"
32.432667697704879,46.527003478613622,78,8518.061898853789899,40,47.053934987334273,407.346473363974326,283.302656349584709,"95","60",1,1,1,"80, 95, 46, 60",65,39,0,0,0.025378706938224,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landsat 8, manually cleaned in 2025"
32.441860545192405,46.503685009103613,80,7404.303563194418530,35,231.234089046510093,2682.589923398201790,323.014726635102704,"95","81",1,1,1,"78, 95, 60, 81",65,52,0,0,0.124716927109671,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landsat 8, manually cleaned in 2025"
