x,y,reach_id_R,reach_len,n_nodes,width,width_var,max_width,rch_id_up,rch_id_dn,n_rch_up,n_rch_down,fdir_set,conn_reach,rg_us_nd,rg_ds_nd,rg_inlet,rg_outlet,rg_flux,rg_outflx,wse,wse_var,facc,n_chan_max,n_chan_mod,obstr_type,grod_id,hfalls_id,dist_out,lakeflag,swot_orbit,swot_obs,type,river_name,edit_flag,trib_flag,path_freq,path_order,path_segs,main_side,strm_order,end_reach,network,mask_date
-133.856266079811974,69.335815887166831,851,1929.449715029830031,9,115.664155763142674,19467.592479863167682,620.217882076883370,"910","4704",1,1,1,"910, 4706, 852, 4704",714,675,0,0,0.002969694231478,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-133.831218033807176,69.337447205790596,852,366.025281061720648,1,53.528021857031625,3026.167746907972287,216.589479410269490,912 913,"4704",2,1,1,"912, 913, 851, 4704",715,675,0,0,0.003109467665893,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-133.894528412966253,69.332899005188864,910,1579.828039898445468,7,564.818446331371092,15333.608699157875890,1082.947397051347707,"970",851 4706,1,2,1,"970, 971, 851, 4706",756,714,0,0,0.011237289145490,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-133.841685764959180,69.332632385330484,912,1296.084882729357787,5,96.626414496422512,2996.436280815640202,303.225271174377326,"972","852",1,1,1,"972, 973, 852, 913",757,715,0,0,0.002452348261603,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-133.821521351721572,69.333690508213010,913,881.486363774892311,4,93.156167624875152,2753.019401370158903,303.225271174377326,"973","852",1,1,1,"974, 973, 852, 912",758,715,0,0,0.000657119404289,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-133.800062237197238,69.335668441339422,966,726.795220112749575,3,90.988425027973278,11608.195336995149773,426.631796815357916,"974","4708",1,1,1,"969, 974, 967, 4708",797,754,0,0,0.000530189505130,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-133.788986910602745,69.336403848786389,967,524.432512697078096,2,45.881161591741382,13730.183717146408526,426.631796815357916,"969","4708",1,1,1,"969, 4710, 966, 4708",755,754,0,0,0.000189323768126,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-133.792296599422173,69.333351987010602,969,748.454168053776584,3,337.464780720028671,1161.150026895160863,426.631796815357916,"974",967 4710,1,2,1,"966, 974, 967, 4710",797,755,0,0,0.001966407101053,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-133.914867646185201,69.329592598886919,970,326.423473152881343,1,1300.762295920536417,20537.106962706311606,1561.848947479557410,"1034",910 971,1,2,1,"1034, 4712, 910, 971",794,756,0,0,0.013447525941339,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-133.900992445644903,69.326551005079963,971,1116.018703152974012,5,111.092853168834395,102479.373922623432009,1082.947397051347707,"970","1040",1,1,1,"910, 970, 1039, 1040",756,798,0,0,0.002210236795849,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-133.856576615508118,69.328789069015158,972,333.855649099310483,1,306.108427320441081,119.635905829378132,329.899266461159129,1041 1040,912 973,2,2,1,"1041, 1040, 912, 973",799,757,0,0,0.005606064272075,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-133.830911897640590,69.326869450143562,973,1965.335434965455079,9,124.261417190659273,2386.763842359626324,303.225271174377326,"972",913 974,1,2,1,"912, 972, 913, 974",757,758,0,0,0.003153716010472,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-133.806081551150612,69.331751099452461,974,512.382574638217761,2,353.928632177183601,5944.470277169508336,528.762305240852925,"973",966 969,1,2,1,"913, 973, 966, 969",758,797,0,0,0.002496596606182,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-133.915565016022782,69.323437493793975,1034,1333.245762461504000,6,1063.453764739724420,69761.289686861709924,1561.848947479557410,"1177",970 4712,1,2,1,"1177, 1107, 970, 4712",845,794,0,0,0.028664287985028,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-134.041498297384919,69.340889892719048,1036,2090.033780600925638,9,856.832867908843014,5419.074584373046491,1039.629501169293690,"1104",4713 4715,1,2,1,"1104, 4718, 4713, 4715",846,796,0,0,0.013487932011366,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-133.887155403907883,69.325370686098282,1039,539.296864589936376,2,58.457906777497421,1527.665626335359548,178.604260201216533,"1107","1040",1,1,1,"1107, 1041, 971, 1040",847,798,0,0,0.000932992804629,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-133.874347138956722,69.328516873708992,1040,1172.661696890409303,5,85.321038202831659,2993.148675469439695,273.966428866637784,971 1039,"972",2,1,1,"971, 1039, 972, 1041",798,799,0,0,0.003143229600478,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-133.871630908802757,69.325436106289132,1041,1207.909836927773540,5,154.312186467370395,1035.767073496709145,273.966428866637784,"1107","972",1,1,1,"1039, 1107, 972, 1040",847,799,0,0,0.002462834671597,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-134.052600314387945,69.326069678893163,1104,1594.692391791304090,7,769.804187169075249,4043.937027758279328,968.617598345307442,1179 1180,1036 4718,2,2,1,"1179, 1180, 1036, 4718",896,846,0,0,0.018735944218431,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-133.897358538884561,69.319721832576690,1107,1390.152850439895019,6,125.986227736955939,58164.749306743186025,893.021301006082808,"1177",1039 1041,1,2,1,"1034, 1177, 1039, 1041",845,847,0,0,0.003395827476226,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-133.913185435678628,69.310617970035366,1177,1656.590727539431782,7,703.655324418037935,7375.450471384284356,968.617598345307442,1247 1248,1034 1107,2,2,1,"1247, 1248, 1034, 1107",946,845,0,0,0.032060115461255,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-134.079118464161581,69.310103312386971,1179,3069.304200059569212,14,270.339305151453118,35910.314436622385983,973.448638779917133,"1250","1104",1,1,1,"1249, 1250, 1104, 1180",948,896,0,0,0.006522041139916,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-134.055149020780846,69.318062230374650,1180,373.457457008149788,1,794.358073792131790,1355.565530786064301,910.706607976806367,1252 1249,"1104",2,1,1,"1252, 1249, 1104, 1179",949,896,0,0,0.012213903078515,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-133.903902289520943,69.298649693152058,1247,1469.994046155834667,6,392.858216187140101,30607.490379990264046,904.504220659433827,1317 1379,"1177",2,1,1,"1317, 1379, 1177, 1248",1000,946,0,0,0.019377521676808,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-133.960128331246608,69.283388764068974,1248,6346.226449545511969,30,633.040504980717401,76486.956736596359406,1547.970933951631423,"1319","1177",1,1,1,"1319, 1252, 1177, 1247",1001,946,0,0,0.012682593784447,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-134.068842731587239,69.306336815309535,1249,2688.414567104989601,12,79.737284457397195,29305.121296269200684,767.595070688717442,"1250","1180",1,1,1,"1179, 1250, 1180, 1252",948,949,0,0,0.001923693076465,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-134.088408519638250,69.285163151095915,1250,2915.888216193949120,13,408.955120204442039,23437.582271295450482,1053.969895850868170,"1321",1179 1249,1,2,1,"1321, 1319, 1179, 1249",1002,948,0,0,0.008445734216381,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-134.046107960227971,69.298750872844792,1252,4244.780310783981804,20,513.626774362483616,120646.132114001244190,1576.795210968822630,"1319","1180",1,1,1,"1248, 1319, 1180, 1249",1001,949,0,0,0.010290210002050,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-133.920548607316931,69.287757787214289,1317,1721.831665603467172,8,120.662034744997854,34772.455700481739768,714.417040804866133,"1380","1247",1,1,1,"1379, 1380, 1247",1049,1000,0,0,0.005567114195129,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-134.055300836888051,69.275011819095212,1319,2326.105374016484348,11,1112.377620848829565,23406.100496823724825,1547.970933951631423,"1321",1248 1252,1,2,1,"1250, 1321, 1248, 1252",1002,1001,0,0,0.022972803786497,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-134.089316746259556,69.270726416182342,1321,809.714923903643012,3,1012.121182504486796,9472.347214699117103,1203.582884564504411,1381 1382,1250 1319,2,2,1,"1381, 1382, 1250, 1319",1050,1002,0,0,0.031418538002878,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-133.910042377813028,69.285742395109622,1379,1632.117365764406259,7,299.327768209744818,15868.975816161098919,714.417040804866133,"1380","1247",1,1,1,"1317, 1380, 1247",1049,1000,0,0,0.013810407481678,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-134.016581233576261,69.262322044983691,1380,9160.878616323459937,43,955.366590359137376,31426.389846300782665,1569.040922342939893,"1424",1317 1379,1,2,1,"1424, 1382, 1317, 1379",1093,1049,0,0,0.019377521676808,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-134.148768340403649,69.273904878618183,1381,4492.264262360142311,21,738.079886155644317,217016.145509028690867,2241.256379236193879,"1426","1321",1,1,1,"1426, 1424, 1321, 1382",1094,1050,0,0,0.016568568188058,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-134.110114808966983,69.264327181357530,1382,1730.803095587373718,8,732.145486174375606,102463.761164015057147,1691.617911368848354,"1424","1321",1,1,1,"1380, 1424, 1321, 1381",1093,1050,0,0,0.014849969814820,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-134.147687287422798,69.257992365664194,1424,2189.092996081199090,10,1524.731813684554481,20392.256710426208883,2035.941106456533134,"1426",1380 1382,1,2,1,"1381, 1426, 1380, 1382",1094,1093,0,0,0.034227491491628,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-134.204399575286459,69.249449059305817,1426,3344.075927244751711,15,1062.687254925140451,91196.666137475593132,2035.941106456533134,1465 1466,1381 1424,2,2,1,"1465, 1466, 1381, 1424",1125,1094,0,0,0.050796059679686,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-134.247735913190724,69.213055979612548,1465,6457.335603084639843,30,1403.074971721430529,171398.996385261416435,1850.541323277717083,1518 1558,"1426",2,1,1,"1518, 1558, 1426, 1466",1161,1125,0,0,0.046941719328525,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-134.189815269710181,69.199837699345196,1466,8924.169443009648603,42,144.564507212007328,86156.447041510822601,1516.126355871886517,"1520","1426",1,1,1,"1520, 1518, 1426, 1465",1162,1125,0,0,0.003854340351161,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-134.255970731454568,69.183180312744213,1518,485.468284686499146,2,1546.540671531632370,1407.342621270046720,1632.918058962073701,"1520","1465",1,1,1,"1466, 1520, 1465, 1558",1162,1161,0,0,0.041233455084889,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-134.294835513750257,69.146641911136200,1520,8937.121055207735481,42,879.207888623917484,33462.844295747221622,1516.126355871886517,"1593",1466 1518,1,2,1,"1558, 1593, 1466, 1518",1196,1162,0,0,0.045087795436050,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-134.373976320249938,69.164169427673684,1558,11454.550264136591068,54,111.310630844053804,59026.973206263799511,1602.762147635994552,"1593","1465",1,1,1,"1520, 1593, 1465, 1518",1196,1161,0,0,0.005708264243636,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-134.373252114580964,69.095969250534395,1593,5411.549085765438576,25,996.187122106590095,34069.708703009790042,1602.762147635994552,1627 1660,1520 1558,2,2,1,"1627, 1660, 1520, 1558",1253,1196,0,0,0.050796059679686,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
-134.500938019052398,69.105937112163616,1627,7825.191925685266142,37,73.099789381252080,156215.696543712692801,1646.080043518048342,"1692","1593",1,1,1,"1660, 1692, 1593",1280,1253,0,0,0.002565690647585,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
