x,y,reach_id_R,reach_len,n_nodes,width,width_var,max_width,rch_id_up,rch_id_dn,n_rch_up,n_rch_down,fdir_set,conn_reach,rg_us_nd,rg_ds_nd,rg_inlet,rg_outlet,rg_flux,rg_outflx,wse,wse_var,facc,n_chan_max,n_chan_mod,obstr_type,grod_id,hfalls_id,dist_out,lakeflag,swot_orbit,swot_obs,type,river_name,edit_flag,trib_flag,path_freq,path_order,path_segs,main_side,strm_order,end_reach,network,mask_date
117.270159146409526,-0.809781551839853,23,2155.106458809484593,10,160.018088608214100,74082.454204660389223,1043.847119616260215,"27","29",1,1,1,"27, 354, 28, 29",21,25,0,0,0.012332680822724,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
117.279379207107482,-0.804270986056449,27,779.140538319741722,3,428.734069466130791,3468.438336628322759,643.748117576021968,"49",23 354,1,2,1,"28, 49, 23, 354",29,21,0,0,0.032915581916672,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
117.270191486093921,-0.806052258629316,28,2460.330659068669775,11,248.233902975769610,46765.702523991079943,1043.847119616260215,"49","29",1,1,1,"27, 49, 23, 29",29,25,0,0,0.019057882146078,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
117.258957153058830,-0.814929076570572,29,1062.610601355477911,4,1216.595246351378137,3605.780464364517229,1316.308988127394059,23 28,34 35,2,2,1,"23, 28, 34, 35",25,30,0,0,0.031390562968802,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
117.252789782806076,-0.827394036984321,34,2436.452642087258937,11,519.316136500399466,29402.557944336556830,1149.708757673260152,"29","357",1,1,1,"29, 35, 41, 357",30,34,0,0,0.014448066323355,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
117.260578844666881,-0.823822619831731,35,1199.658003457123414,5,608.975049232809624,24861.432003137811989,1149.708757673260152,"29",42 53,1,2,1,"29, 34, 42, 53",30,35,0,0,0.016942496645447,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
117.256439484805625,-0.836820248893682,41,706.991147731677188,3,599.053547992006884,6307.921230827814725,797.438094673939872,"53","357",1,1,1,"53, 68, 34, 357",41,34,0,0,0.007604606252090,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
117.275521883929557,-0.832322100432772,42,4326.839555525897595,19,142.430274559555755,6009.679109920558403,588.671275369363343,"35",54 55,1,2,1,"35, 53, 54, 55",35,42,0,0,0.003256010956181,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
117.343481993060720,-0.836367224499309,46,8955.535291595682793,40,892.789033197120943,109421.440148832756677,1512.087643660675440,61 82,"356",2,1,1,"61, 82, 81, 356",46,37,0,0,0.072914447229888,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
117.284212276512562,-0.780388637954664,49,5030.462683542255036,23,429.767538669838473,20327.875075359188486,958.194203161768428,"64",27 28,1,2,1,"64, 81, 27, 28",49,29,0,0,0.051973464062750,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 7, manually cleaned in 2025"
