x,y,reach_id_R,reach_len,n_nodes,width,width_var,max_width,rch_id_up,rch_id_dn,n_rch_up,n_rch_down,fdir_set,conn_reach,rg_us_nd,rg_ds_nd,rg_inlet,rg_outlet,rg_flux,rg_outflx,wse,wse_var,facc,n_chan_max,n_chan_mod,obstr_type,grod_id,hfalls_id,dist_out,lakeflag,swot_orbit,swot_obs,type,river_name,edit_flag,trib_flag,path_freq,path_order,path_segs,main_side,strm_order,end_reach,network,mask_date
106.159143545396148,20.563265027339156,32,11676.929421499113232,53,445.309665330880648,7243.212922966788028,702.769159480642429,75 76,33 319,2,2,1,"75, 76, 33, 319",34,21,0,0,0.554341530177262,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landat 8, manually cleaned in 2025"
106.208869675612789,20.478948509604788,33,14452.005172087187020,65,472.024018639836811,17090.191268789953028,902.910675566662235,"32",54 55,1,2,1,"32, 319, 54, 55",21,35,0,0,0.409124505062717,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landat 8, manually cleaned in 2025"
106.521254408329881,20.665686084635468,44,23889.713398936175508,109,93.748695640149961,868.185580891987343,232.646357885726502,"65","321",1,1,1,"64, 65, 45, 321",44,28,0,0,0.033693062207772,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landat 8, manually cleaned in 2025"
106.469743473816493,20.604917575670918,45,40517.140356629191956,185,62.695270090535146,151.993696006384198,130.053267737557178,"107","321",1,1,1,"65, 107, 44, 321",45,28,0,0,0.030583965634127,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landat 8, manually cleaned in 2025"
106.173046330846617,20.410247631092290,54,15030.196832125035144,68,186.244239597949843,2615.667467195386507,572.825224230571507,"33",78 79,1,2,1,"33, 55, 78, 79",35,52,0,0,0.137613842572786,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landat 8, manually cleaned in 2025"
106.264612758629141,20.405673861463608,55,15080.091587799744957,68,367.457923801722586,17853.206297215401719,758.334347945132208,"33",80 81,1,2,1,"33, 54, 80, 81",35,53,0,0,0.271510662489931,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landat 8, manually cleaned in 2025"
106.265719674113086,20.326582821367310,62,8377.543306999034030,37,296.200218209613297,10828.161536799449095,626.419489497116501,80 81,63 323,2,2,1,"80, 81, 63, 323",58,42,0,0,0.271510662489931,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landat 8, manually cleaned in 2025"
106.305878300421881,20.341788659016785,63,1547.482246340466645,7,163.620264643836407,9690.191136422881755,551.769285196177975,"62",92 93,1,2,1,"62, 323, 92, 93",42,59,0,0,0.083984418456179,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landat 8, manually cleaned in 2025"
106.533615371231789,20.762632291116471,64,3100.810026917526102,14,111.822155543102014,1607.385590870908572,313.209744748558251,"65","95",1,1,1,"44, 65, 94, 95",44,60,0,0,0.040188621475682,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landat 8, manually cleaned in 2025"
106.464810657666177,20.730685083306952,65,21846.145524750307231,99,151.452959655072220,1328.901158109162907,290.807947357158127,"107",44 64,1,2,1,"45, 107, 44, 64",45,44,0,0,0.073881683683453,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landat 8, manually cleaned in 2025"
106.134107800908907,20.610281617467184,75,4121.059142227692064,19,303.456642689681189,22744.908742253337550,680.763951093577248,"110","32",1,1,1,"107, 110, 32, 76",68,34,0,0,0.205391865446821,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landat 8, manually cleaned in 2025"
106.121817701854908,20.608689764602406,76,3464.246522890347933,15,579.688603165640757,69741.890949283319060,1232.421985336054604,"184","32",1,1,1,"110, 184, 32, 75",69,34,0,0,0.348949664730441,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landat 8, manually cleaned in 2025"
106.164259023488441,20.355680055089035,78,638.921425516628119,2,117.617723684843853,965.229263362840811,209.704593101733224,"54","329",1,1,1,"54, 79, 329",52,71,0,0,0.086780207694310,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landat 8, manually cleaned in 2025"
106.168913903856350,20.363399836340513,79,2733.949296268221588,12,68.897466137601754,901.086146137716014,209.704593101733224,"54","329",1,1,1,"54, 78, 329",52,71,0,0,0.050833634878476,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landat 8, manually cleaned in 2025"
