x,y,reach_id_R,reach_len,n_nodes,width,width_var,max_width,rch_id_up,rch_id_dn,n_rch_up,n_rch_down,fdir_set,conn_reach,rg_us_nd,rg_ds_nd,rg_inlet,rg_outlet,rg_flux,rg_outflx,wse,wse_var,facc,n_chan_max,n_chan_mod,obstr_type,grod_id,hfalls_id,dist_out,lakeflag,swot_orbit,swot_obs,type,river_name,edit_flag,trib_flag,path_freq,path_order,path_segs,main_side,strm_order,end_reach,network,mask_date
41.644250682753423,42.203537936814385,13,1026.962940362637028,4,160.078076516818243,1840.282465539348777,320.443959199578671,"18","58",1,1,1,"18, 14, 58",12,8,0,0,0.259908996947782,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 1987 Landat 4, manually cleaned in 2025"
41.646997346215130,42.206557605685681,14,1241.800517840147222,5,107.445481565253687,3814.326350156657099,320.443959199578671,"18","58",1,1,1,"13, 18, 58",12,8,0,0,0.174452666772657,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 1987 Landat 4, manually cleaned in 2025"
41.651567902745398,42.200771876969092,18,439.303208377306021,2,381.130897342564083,223.311092395390233,381.130897342564083,"28",13 14,1,2,1,"28, 59, 13, 14",15,12,0,0,0.434361663720439,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 1987 Landat 4, manually cleaned in 2025"
41.682250582905965,42.197400681175608,28,5090.536125677277596,23,196.763000749840813,2495.695824662918312,390.863465346123007,"33",18 59,1,2,1,"33, 62, 18, 59",23,15,0,0,0.651383343241347,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 1987 Landat 4, manually cleaned in 2025"
41.717147734425723,42.180939616497071,33,2315.556919200948414,11,241.946333378660910,1497.440425435483803,360.879184274577540,39 40,28 62,2,2,1,"39, 40, 28, 62",27,23,0,0,1.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 1987 Landat 4, manually cleaned in 2025"
41.732051982583869,42.167491840956785,39,1822.652187960954279,8,122.197974899898213,3775.914506421444912,353.871154358753358,"56","33",1,1,1,"40, 56, 33",33,27,0,0,0.320274529834448,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 1987 Landat 4, manually cleaned in 2025"
41.732415238757106,42.171879594791285,40,1129.567702390249906,5,259.343370155118407,817.069785963812024,353.871154358753358,"56","33",1,1,1,"39, 56, 33",33,27,0,0,0.679725470165552,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 1987 Landat 4, manually cleaned in 2025"
41.746250541237977,42.173689693426994,56,1505.946441178082523,7,180.191817527010215,3813.191151448300843,353.871154358753358,,39 40,0,2,1,"39, 40",46,33,1,0,1.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 1987 Landat 4, manually cleaned in 2025"
41.638049524390347,42.207280546532523,58,412.502446945960742,1,219.807258067565556,448.496803585332998,269.500242030640948,13 14,,2,0,1,"13, 14",8,48,0,1,0.434361663720439,0.434361663720439,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 1987 Landat 4, manually cleaned in 2025"
41.648745963773770,42.192763630397714,59,1793.336541667349820,8,190.425800357532978,2474.026576277914955,381.130897342564083,"28",,1,0,1,"18, 28",15,49,0,1,0.217021679520908,0.217021679520908,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 1987 Landat 4, manually cleaned in 2025"
41.690579650504070,42.157443414121360,62,7520.104152468143184,35,105.306437763475799,305.385809191522924,200.179754330708789,"33",,1,0,1,"28, 33",23,52,0,1,0.348616656758653,0.348616656758653,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 1987 Landat 4, manually cleaned in 2025"
