x,y,reach_id_R,reach_len,n_nodes,width,width_var,max_width,rch_id_up,rch_id_dn,n_rch_up,n_rch_down,fdir_set,conn_reach,rg_us_nd,rg_ds_nd,rg_inlet,rg_outlet,rg_flux,rg_outflx,wse,wse_var,facc,n_chan_max,n_chan_mod,obstr_type,grod_id,hfalls_id,dist_out,lakeflag,swot_orbit,swot_obs,type,river_name,edit_flag,trib_flag,path_freq,path_order,path_segs,main_side,strm_order,end_reach,network,mask_date
-164.573918777324309,62.468985803084678,24,8498.094336654099607,40,166.742112313574040,80338.196969973025261,1549.082430585683824,34 35,85 116,2,2,1,"34, 35, 85, 116",26,6,0,0,0.008093179420254,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landsat 8, manually cleaned in 2025"
-164.562882785936921,62.501145525702320,34,1142.109887915110676,5,41.061952814103400,1359.496041195036923,206.544324078091165,"46","24",1,1,1,"46, 35, 24",36,26,0,0,0.002352650301330,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landsat 8, manually cleaned in 2025"
-164.556195656215692,62.501459940975423,35,876.083481466556577,4,100.192253679154646,1431.668592303956075,230.923574502679230,"46","24",1,1,1,"34, 46, 24",36,26,0,0,0.005740529118924,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landsat 8, manually cleaned in 2025"
-164.557135939975041,62.505647584203359,46,127.613644067580609,1,258.169569963133540,1042.483279273344579,296.126909630200714,"112",34 35,1,2,1,"69, 112, 34, 35",47,36,0,0,0.008093179420254,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landsat 8, manually cleaned in 2025"
-164.593699460579785,62.509948173266395,69,4180.199060301009922,20,108.444601776886572,5398.709372063779483,534.405028251538852,"112","81",1,1,1,"46, 112, 81, 160",47,70,0,0,0.003399554871876,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landsat 8, manually cleaned in 2025"
-164.619797420253690,62.505323427389783,81,120.484189045553180,1,509.175265740455188,407.069032299466983,538.821673839584832,69 160,93 94,2,2,1,"69, 160, 93, 94",70,82,0,0,0.020039011928282,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landsat 8, manually cleaned in 2025"
-164.637853604410026,62.443572893388982,85,4621.892460192100771,22,1522.557276216575701,12514.092381859305533,1700.422831840953904,"24","99",1,1,1,"24, 116, 99",6,86,0,0,0.006680840628842,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landsat 8, manually cleaned in 2025"
-164.624204622906916,62.504871864685946,93,404.229297268824155,1,388.666109404524775,3044.534050846208629,483.164622519203590,"81",105 106,1,2,1,"81, 94, 105, 106",82,94,0,0,0.016103262286151,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landsat 8, manually cleaned in 2025"
-164.626509132930153,62.507918825390199,94,852.458545766934662,4,94.992708546568309,15136.033350613190123,483.164622519203590,"81","107",1,1,1,"81, 93, 107, 105",82,95,0,0,0.003935749642131,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landsat 8, manually cleaned in 2025"
-164.691043426322295,62.450255956762661,99,1894.249388605451941,9,1565.319655251006679,10557.683856229052253,1938.780325142539823,85 116,"328",2,1,1,"85, 116, 134, 328",86,100,0,0,0.008093179420254,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2020 Landsat 8, manually cleaned in 2025"
